year,month,day,author,title,abstract
2023,6,20,"Alina Russkikh (HSE University), Aigul Zakirova (independent researcher)",Peripheral functions of additive and intensifying clitics: a typological perspective,"Additive focus particles, such as English also or German auch, have been extensively discussed in the literature (König 1991, Krifka 1998, Forker 2016). Their semantic contribution to the meaning of the sentence is the presupposition that there is at least one true alternative to the focussed constituent. Another, less common type of focus particles are intensifying particles, such as Avar =*go* (Forker 2015). The core function of such particles is contrast or emphasis marking.  In some languages, besides their core functions, additive and intensifying particles also occur in other, peripheral functions. Interestingly, in some of these functions both types of particles are used. The purpose of this talk is to establish a list of “shared” functions where both types of particles can be used, and compare the distribution of additive and intensifying particles across the shared functions. Our sample thus includes languages that feature both additive and intensifying particles. Besides, we limit ourselves to clitics. These conditions hold for languages spoken in the Eastern and Southern Caucasus and languages of the Volga-Kama area."
2023,6,13,Maria Ermolova (HSE University),On the grammaticalization of the past passive participles in Middle Russian  ,"I will analyze the functioning of the past passive participles (PPP) in the preterit meaning used without auxiliary in the Russian language of the XVIIth c. on the data of private letters and the first Russian handwritten newspaper Kuranty. The grammatical interpretation of this use is proposed in the talk. By the evolution of the old temporal system the PPP tends to grammaticalize and transform into a special form which has the preterit meaning and doesn’t need indication on the action’s subject. Different types of the constructions with PPP in this function (the PPP coordinates with the subject / has the neutral form by the subject in Nom. or Acc.) reflect different stages of the grammaticalization process, which wasn’t fully realized in the history of Russian, but reached the final phase in Polish."
2023,6,13,Elena Shvedova (HSE University),"Reading group: Jacques, Guillaume 2023. Folia Linguistica, https://doi.org/10.1515/ flin-2023-2013","This paper is the first survey of verbal affixes encoding the day period (‘at night’,‘in the morning’ etc) or the yearly seasons (‘in win- ter’ etc) when the main action takes place. It introduces the term ‘periodic tense’ to refer to this comparative concept, explores the attested paradigms, their interactions with other verbal categories (including the more usual deictic tense) and investigates their diachronic origins. It shows that periodic tense markers are not restricted to incorporated nouns of time period, but constitute a highly grammaticalized verbal category in some languages, which redundantly co-occurs with adverbs or nouns of time."
2023,6,6,"Gromov V. A., Borodin N. S., Dang Q. N., Ivanov A. A., Ivanov D. K., Kogan A. S., Xu J.",Spot the Bot: Large-Scale Structure of Natural Languages,"In the presentation, we attempt to examine a natural language (as a whole) as a natural phenomenon. We ascertain that it constitutes a self-organised critical complex system. The presentation explores the language coarse-graining structure: sets of word, bi- and trigram embeddings. We ascertain that these sets are fractal, estimate their internal dimensions, and contour ‘holes’ in the language (using topological data analysis).We analyse semantic trajectories of literature masterpieces as those of chaotic dynamical systems. The results obtained are employed to distinguish texts written by humans and those generated by bots."
2023,6,6,Timofei Dedov (HSE University),"Reading group: Nataliia Hübler, Simon J. Greenhill (2023) Modelling admixture across language levels to evaluate deep history claims","The so-called ‘Altaic’ languages have been subject of debate for over 200 years. An array of different data sets have been used to investigate the genealogical relationships between them, but the controversy persists. The new data with a high potential for such cases in historical linguistics are structural features, which are sometimes declared to be prone to borrowing and discarded from the very beginning and at other times considered to have an especially precise historical signal reaching further back in time than other types of linguistic data. We investigate the performance of typological features across different domains of language by using an admixture model from genetics. As implemented in the software STRUCTURE, this model allows us to account for both a genealogical and an areal signal in the data. Our analysis shows that morphological features have the strongest genea- logical signal and syntactic features diffuse most easily. When using only morphological structural data, the model is able to correctly identify three language families: Turkic, Mongolic, and Tungusic, whereas Japonic and Koreanic languages are assigned the same ancestry."
2023,5,30,"Zaira Khalilova (IL RAS, HSE)",Adaptation of verbal borrowings in Nakh-Daghestanian languages,"The Nakh-Daghestanian languages have many borrowings from different languages. The majority of borrowings are nouns and adjectives, whereas verbs are borrowed the least. When verbs are borrowed, they are adapted by using different integration strategies, which are light verb strategy, indirect insertion, and direct insertion [Wohlgemuth, 2009].

In this talk, I will present verbal adaptation strategies found in the languages of Daghestan.  For instance, languages in contact with Avar integrate verbal borrowings using light verb strategy and indirect insertion. Languages in contact with Turkic languages use light verb strategy and direct insertion. It is generally the case that a recipient language has one strategy for integrating verbs from various donor languages, e.g., Bezhta uses light verb strategy to integrate Avar, Georgian, and Russian verbs. Other languages apply one integration strategy per donor language, e.g., Khwarshi uses light verb strategy for Russian verbs and indirect insertion for Avar verbs. Few languages combine two strategies for one donor language, e.g., Lezgian uses light verb strategy and direct insertion for adapting Russian verbs.  "
2023,5,30,Asya Alekseeva (HSE University),"Reading group: Petrini, S., Casas-i-Muñoz, A., Cluet-i-Martinell, J., Wang, M., Bentz, C., & Ferrer-i-Cancho, R. (2023). Direct and indirect evidence of compression of word lengths. Zipf's law of abbreviation revisited. arXiv preprint arXiv:2303.10128.  ","Zipf’s law of abbreviation, the tendency of more frequent words to be shorter, is one of the most solid candidates for a linguistic universal, in the sense that it has the potential for being exceptionless or with a number of exceptions that is vanishingly small compared to the number of languages on Earth. Since Zipf’s pioneering research, this law has been viewed as a manifestation of a universal principle of communication, i.e. the minimization of word lengths, to reduce the effort of communication. Here we revisit the concordance of written language with the law of abbreviation. Crucially, we provide wider evidence that the law holds also in speech (when word length is measured in time), in particular in 46 languages from 14 linguistic families. Agreement with the law of abbreviation provides indirect evidence of compression of languages via the theoretical argument that the law of abbreviation is a prediction of optimal coding. Motivated by the need of direct evidence of compression, we derive a simple formula for a random baseline indicating that word lengths are systematically below chance, across linguistic families and writing systems, and independently of the unit of measurement (length in characters or duration in time). Our work paves the way to measure and compare the degree of optimality of word lengths in languages."
2023,5,23,"Vladimir Plungian (MSU, IL RAS, RLI, HSE)",“Temporal mobility” outside Armenian: the case of Dardic and Iranian,"In a number of my previous publications (Plungian 2018 being the most recent), I suggested a label of “temporal mobility” for a specific type of verbal systems where the opposition of (present and past) tense may not extend to the whole set of aspectual forms. That means some aspectual series behave as “temporally mobile” (= they allow both past and present reference), and some other series remain “temporally stable” (= they can have only one type of temporal reference). My main evidence came from Modern Eastern Armenian, where, additionally, a nice morphosyntactic correlation is observed: temporally mobile forms of indicative (as perfect, prospective, and durative) tend to be periphrastic, while temporally stable forms (as aorist) tend to be synthetic. The problem of how pervasive this type of verbal systems may be was not addressed, however.

In fact, there are increasingly fascinating samples of temporal mobility, which happen to be found in several Dardic languages (as Gawri, Khowar, and some others), as well as in neighboring Iranian, where temporal (and even aspectual) marking can be meaningfully absent in part of the finite forms – thus creating a complicated three-level opposition between “temporally mobile”, “aspectually mobile” and “rigid” forms. Presumably, systems of this kind demonstrate that a “mobility-based” typology could have a wider application.

Baart, Joan L. G. 1999. A sketch of Kalam Kohistani grammar (Studies in Languages of Northern Pakistan 5). Islamabad: SIL.

Liljegren, Henrik. 2016. A grammar of Palula (Studies in Diversity Linguistics 8). Berlin: Language Science Press.

Plungian, Vladimir. 2018. Notes on Eastern Armenian verbal paradigms: “temporal mobility” and perfective stems. In: Daniël Van Olmen, Tanja Mortelmans & Frank Brisard (eds.), Aspects of linguistic variation: Studies in honor of Johan van der Auwera, 233–245. Berlin: De Gruyter Mouton.

Rönnqvist, Hanna. 2013. Tense and aspect systems in Dardic languages: A comparative study. Stockholms universitet. 

Schmidt, Ruth Laila & Razwal Kohistani. 2008. A grammar of the Shina language of Indus Kohistan. Wiesbaden: Harrassowitz.

Грюнберг, А. Л. 1987. Очерк грамматики афганского языка (пашто). Л.: Наука.

Эдельман, Д. И. 1983. Дардские и нуристанские языки. М.: Наука."
2023,5,16,"Rita Popova (HSE University), Michael Daniel (Collegium de Lyon / Laboratoire Dynamique du Langage)",‘Small’ is big. Number suppletion in size property words,"Adjectival number suppletion — a phenomenon considered as unexpected on theoretical grounds (Hippisley et al., 2004) — is attested in size-denoting adjectives of three different IE branches, namely in Mainland Scandinavian, Brittonic and Megleno Romanian languages. Swedish suppletive adjective ‘small’ is by far the most widely cited example: 

(1)  en liten flicka 
a small girl
‘a small girl’

(2) två små flickor
two small.pl girl.pl
‘two small girls’ (Nurmio, 2017) 

This, and the other two cases of suppletion attested in Indo-European, were object of detailed etymological investigations in the course of the last decade (see Börjars & Vincent, 2011 for Mainland Scandinavian, Jørgensen, 2012 and Nurmio, 2017 for Brittonic, Maiden, 2014 for Megleno-Romanian). Theory-wise, Maiden (2014) attempts to explain why it is specifically size adjectives that deviate from regular expression of number, by examining the historical stages that led to the eventual development of suppletive paradigms for ‘small’ and ‘big’ in Scandinavian and Megleno Romanian. It is argued that all known instances of number suppletion in adjectives came to life under similar circumstances and should be attributed to a single linguistic force that disrupts the usual pattern of inflection precisely in size properties. Nurmio (2017) takes a step forward by bringing into light evidence from 3 non-IE languages and suggests “a strong tendency for adjectives denoting size, ‘small’ and ‘big’, to develop this type of suppletion” (Nurmio 2017: 26). In this study, we hope to continue the typological line of research and to make a contribution to the topic by presenting a more diverse collection of number conditioned irregularities in the expression of size properties across the world. 

First, we put the “strong tendency” suggested by Nurmio (2017) to a more rigorous testing.  By researching several lexical databases and typological surveys, we obtained data on number encoding for a fixed subset of eight prototypical property meanings (Dixon 1982), namely ‘small’, ‘big’, ‘long’, ‘short’, ‘young’, ‘old’, ‘good’, ‘black’ in a convenience sample of some 100 languages where at least one of these items shows number-related irregularity. Our sources include typological studies of suppletion in general (Hippisley et al., 2004, Veselinova, 2006, Vafaeian, 2013) and three lexical databases: Global Lexicostatistical Database (Starostin, 2011), Intercontinental Dictionary Series (Key & Comrie, 2023), and Austronesian Basic Vocabulary Database (Greenhill et al., 2008). Even though absolute numbers remain low, we see that this broader cross-linguistic evidence supports the idea of size-properties being more prone to number-conditioned stem alternations than other properties. 

Next, we discuss various theoretical interpretations and implications of this generalization. We revisit the analysis of sources and paths of grammaticalization of ‘small’-suppletion in (Maiden 2014) in the light of these new data. There are a few cases when we are able to trace down the histories behind the suppletive pairs similar to the studies of Indo-European suppletion; however, in most cases we do not know much about the etymologies of the lexical items involved. In a synchronic functional perspective, we try to relate ‘small’-suppletion to research on a different but related type of number suppletion, namely the studies on verbal number (see especially Durie, 1986, Mithun, 1988, François, 2019), a link hinted at by Nurmio (2017). 

References:

Börjars, K., & Vincent, N. (2011). The pre-conditions for suppletion. In A. Galani, G. Hicks, & G. Tsoulas (Eds.), Linguistik Aktuell/Linguistics Today (Vol. 178, pp. 239–266). John Benjamins Publishing Company. https://doi.org/10.1075/la.178.13bor

Dixon, R. M. (1982). Where have All the Adjectives Gone?: And Other Essays in Semantics and Syntax. DE GRUYTER MOUTON. https://doi.org/10.1515/9783110822939 

Durie, M. (1986). The Grammaticization of Number as a Verbal Category. In M. V. Vassiliki Nikiforidou, M. Niepokuj, & D. Feder (Eds.), Proceedings of the twelfth Annual Meeting of the Berkeley Linguistics Society, 15-17 February 1986 (pp. 355–370). Berkeley Linguistics Society Publications. 

François, A. (2019). Verbal number in Lo-Toga and Hiw: The emergence of a lexical paradigm. Transactions of the Philological Society, 117(3), 338–371. 

Greenhill, S. J., Blust, R., & Gray, R. D. (2008). The Austronesian Basic Vocabulary Database: From Bioinformatics to Lexomics. Evolutionary Bioinformatics, 4, EBO.S893. https://doi.org/10.4137/EBO.S893

Hippisley, A., Chumakina, M., Corbett, G., & Brown, D. (2004). Suppletion: Frequency, categories and distribution of stems. Studies in Language - STUD LANG, 28. https://doi.org/10.1075/sl.28.2.05hip 

Jørgensen, A. R. (2012). The Plural of Middle and Early Modern Breton bihan. https://www.academia.edu/5789327/The_Plural_of_Middle_and_Early_Modern_Breton_bihan 

Key, M. R., & Comrie, B. (Eds.). (2023). IDS. Max Planck Institute for Evolutionary Anthropology. https://ids.clld.org/

Maiden, M. (2014). Two suppletive adjectives in Megleno-Romanian. Revue Romane. Langue et Litterature. International Journal of Romance Languages and Literatures, 49, 32–52. https://doi.org/10.1075/RRO.49.1.02MAI 

Mithun, M. (1988). Lexical categories and the evolution of number marking. Theoretical Morphology: Approaches in Modern Linguistics, 211–234.

Nurmio, S. (2017). The development and typology of number suppletion in adjectives. Diachronica, 34, 127–174. https://doi.org/10.1075/DIA.34.2.01NUR

Starostin, G. (2011, 2019). The Global Lexicostatistical Database.Moscow: Higher School of Economics, & Santa Fe: Santa Fe Institute. Available online at http://starling.rinet.ru/new100/, accessed on [25.04.2023]. 

Vafaeian, G. (2013). Typology of nominal and adjectival suppletion. STUF - Language Typology and Universals, 66(2). https://doi.org/10.1524/stuf.2013.0007 

Veselinova, L. N. (2006). Suppletion in Verb Paradigms. In Tsl.67. John Benjamins Publishing Company. https://benjamins.com/catalog/tsl.67  "
2023,5,2,"George Moroz, Asya Alekseeva, Timofei Dedov, Artem Orekhov, Kirill Sidorov, Angelina Stepanova  (HSE University)",What do we know about linguistic journals? Applying NLP methods to a dataset of abstracts from linguistic journals (work in progress),"There is a new project within the Lab dedicated to the analysis of abstracts from linguistic journals. Within this project we extracted and annotated a list of linguistic journals, gathered the abstracts and metadata for all scientific papers from those journals, and stored them within the database. The main goal of this project is to create some kind of map of ""who is who in linguistics"". During the talk we will share our preliminary results and discuss conceptual problems of this task, possible applications of the gathered data and our future plans."
2023,4,25,"Sergey Say (University of Potsdam), Natalia Logvinova (National Research University Higher School of Economics & RAS Institute for Linguistic studies), Elizaveta Zabelina (RAS Institute for Linguistic studies) ","Introducing NoCaCoDa, а Typological Database of Nominal Causal Constructions","In this talk, we will present NoCaCoDa, a typological database of nominal causal constructions. By nominal causal constructions we refer to causal constructions in which the causing event is syntactically represented by a noun phrase, as in *He is shivering from [the cold]* or *She was late for work because of [her husband]*. NoCaCoDa is based on a questionnaire containing 54 stimulus sentences that are annotated for five semantic parameters: direct vs. indirect causes, objective vs. subjective causes, internal vs. external causes, etc. Currently, NoCaCoDa displays first-hand data from 35 languages. In the talk, we will outline the structure of the database and summarize our preliminary findings. More precisely, we take the patterns of syncretism displayed by nominal causal markers as a proxy for the cognitive construal of the causal meaning. "
2023,4,25,"Daria Ryzhova (HSE University), Yury Makarov (HSE, Institute of Linguistics, RAS), Ekaterina Rakhilina (HSE, Vinogradov Russian Language Institute, RAS)",An annotation tool for a typological research of verbal colexifications,"In this talk, we will report our progress in the research of verbal colexifications in Botlikh and Shughni. We will present the annotation system that we developed and the database that we designed specifically for the annotation purposes. Our markup allows to refrain from using such general labels as metaphor and metonymy and to extract more specific polysemy patterns, going deeper into the nature of verbal polysemy."
2023,4,18,Timur Maisak (HSE University),"Imperative interjections ‘here, take it!’ in Daghestan and beyond","Many languages of the world possess a dedicated imperative interjection used by the speaker to ask the addressee to take something (from the speaker’s hands), e.g. ma in the example from Agul below. The Russian na, as in na, beri ‘here, take it!’ in another instance of the same imperative interjection type. In the talk, I will present the results of my study of ‘take!’-interjections in the languages of the Caucasus: the study is part of the Typological Atlas of the Languages of Daghestan (http://lingconlab.ru/dagatlas/), but the sample was slightly expanded. I will discuss the phonological form of ‘take!’-interjections, their morphosyntactic behavior and also their “extended” functions.

Agul (< Lezgic < Nakh-Daghestanian)

ma             čʷa-s              xibu        guni           p.u-na

take.it        you.pl-dat   three       bread        say.pfv-cvb

{I have three loafs of bread.} ‘Take these three loafs, – he said.’ "
2023,4,18,Ilya Sadakov (HSE University),"Reading Group: Dunn, M., & Bellamy, K. (2023). Evolution and Spread of Politeness Systems in Indo‐European","In this paper, we investigate the phenomenon of pronominal politeness in the Indo-European languages and demonstrate that the processes of change of pronominal systems related to politeness follow two evolutionary regimes, one inside the ‘Standard Average European’ (SAE) linguistic area and another outside of it. Historical processes of language change differ at different levels of linguistic structure. In general, we presume that lower level, unconscious aspects of language change slowly over phylogenetic time, giving rise to patterns of relationship that can often be described as a family tree. Aspects of language that are consciously manipulated by speakers are expected to vary at a faster rate and to diffuse within areas of contact. Politeness is a social phenomenon, so we expect these systems to be highly susceptible to areal norms of interaction. We show that the similarities of SAE politeness systems can be accounted for with a model of convergence due to parallel evolution in a shared (social-demographic) environment, rather than by genealogical relatedness or borrowing. By quantifying and testing factors determining rates of structural change, we offer a novel and realistic approach that can explain similarities between distantly related languages sharing the same environment."
2023,4,4,Michael Daniel (Collegium de Lyon / Laboratoire Dynamique du Langage) ,Directionality is a key to understanding the part-of-speech typology in East Caucasian languages (and beyond),"Starting from the 1990s to the present, functional typology has seen a lot of typological debates about (how to deal with) non-universality of part-of-speech inventories across languages (Croft 1990, Hengeveld 1992, and a survey in Bisang 2010). In these discussions, building part-of-speech typology is viewed as investigating the ways in which languages group words into classes so that the resulting classification is relevant to their morphosyntax. As morphosyntax of languages varies greatly, we can expect - and indeed observe - differences in their inventories of parts of speech. The discussions have been primarily focused on languages that show inventories that are reduced as compared to expectations (underspecified parts of speech in van Lier & Rijkhoff 2013), such as lacking adjectives as a separate part of speech (Dixon 1977) or lacking major distinctions of parts of speech altogether; see re-assessment of the assumed “mergers” in Arkadiev et al (2009) for Adyghe, in Dixon and Aikhenvald (2006) for adjectives cross-linguistically, and Haspelmath (2012) for a general methodological stance. But there is more to such a variation than eventual mergers. In this talk, I am going to suggest a tentative re-interpretation of the morphosyntactic status of the category of directionality in East Caucasian. In the existing descriptive grammars, markers of directionality are usually viewed as cross-categorial markers that can be added to different classes of words. In the talk, I will draft a comprehensive inventory of the notional classes of stems that are involved in the derivation of directional forms; will show how this grouping is also relevant to syntax; and will ultimately argue that they all can be seen as belonging to one - and separate - part of speech, which I suggest to call spatials (or spatial words). 

Bisang, Walter. 2010. Word Classes. In: Song, Jae Jung (ed.) The Oxford handbook of linguistic typology. Oxford: Oxford University Press.

Croft, William. 1990. Typology and Universals. Cambridge: Cambridge University Press.

Dixon, Robert W. 1977. Where have all the adjectives gone? Studies in Language. Vol. 1. No. 1. 19–80.

Dixon, Robert W., and Alexandra Y. Aikhenvald. 2006. Adjective classes: a cross-linguistic typology. Oxford: Oxford University Press.

Haspelmath, Martin. 2012. How to compare major word-classes across the world’s languages. UCLA Working Papers in Linguistics, Volume 17, Article 16: 109-130.

Hengeveld, Kees. 1992. Parts of Speech. In: Non-verbal Predication: Theory, Typology, Diachrony. Berlin: Mouton de Gruyter.

Rijkhoff, Jan, and Eva van Lier (eds.) 2013. Flexible word classes: Typological studies of underspecified parts of speech. Oxford: Oxford University Press.

Vogel, Petra M., and Bernard Comrie (eds.) 2011. Approaches to the Typology of Word Classes. Berlin: Mouton de Gruyter."
2023,4,4,Kirill Chuprinko (HSE University),Andic dictionaries' examples database: state of affairs and possible applications,"In this talk I present the current status of the Andic dictionaries' examples database. This database is a collection of linguistic examples with Russian translation provided within the entries of dictionaries presented in the Andic dictionary database (https://github.com/phon-dicts-project/comparative_andic_dictionary_database). In our vision it can be used as an addition to other corpus materials. I am going to discuss some difficulties that appeared at its creation, its current structure and content as well as prospects for improvement. Also, in order to show a possible way of application, I am going to discuss a possible way to investigate variation in Andic languages with this database."
2023,3,28,"Ekaterina Voloshina (AIRI), Anastasia Cheveleva (AIRI, HSE), Viktoria Knyazkova (HSE University), Vitaly Protasov (AIRI), Tatiana Shavrina (AIRI), Oleg Serikov (AIRI)",Climbing the WALS: Typological Case Studies in LLMs Probing Using Syntactic Probing Framework,"Theoretical discourse on language predominantly revolves around the hierarchical arrangement of language, which encompasses phonetics, morphology, syntax, and semantics. Although knowledge of language structure is integral in evaluating the accuracy and comprehension of language models, the emphasis on syntax in interpretation methods is insufficient. In this study, we introduce a framework to conduct syntactic probing across various languages and large language models.   Drawing data from the World Atlas of Language Structures (WALS) and Universal Dependencies (UD), we compile a linguistically diverse set of languages and investigate mBERT multilingual language model for its capacity to encode syntactic information in relation to word order and relative clauses. In order to do so we make use of a novel syntactic querying interface allowing to gather data from UD collection.  Our findings support the notion that mBERT exhibits a gap in recognizing syntax and a tendency to favour Standard Average European (SAE) languages when intersecting with existing diverse datasets."
2023,3,28,"Yury Koryakov (IL RAS, HSE)",Language diversity in Daghestan and beyond. How many languages are spoken there?,"It has long been known that the Caucasus is a mountain of languages, and Dagestan then was its peak. But how many languages are actually spoken in Dagestan and how can we count them? In the talk, I will tell about  the project to compile a list of languages of Russia and the principles  that underlie it. And also about the application of these criteria for the languages of Dagestan and the difficulties that arise in this case.  The main algorithm that we use to decide whether a given lect is a separate language includes the following criteria: tradition; mutual  intelligibility, lexical distance; written tradition, linguistic and/or ethnic identity. However, in Dagestan, the only region of Russia,  additional difficulties arose due to the position of some local scholars."
2023,3,21,"Yury Lander, Ksenia Romanova (HSE University)",Comparatives in the North Caucasus may be not so comparative,"In this talk, we discuss the specifics of certain patterns that are usually described as constructions expressing the comparison of inequality. We provide evidence that these constructions may function in a completely different way as compared with their Standard Average European translations. Most data are taken from West Caucasian languages, but similar conclusions may apply to East Caucasian languages as well as to some Turkic languages of the area."
2023,3,21,Svetlana Kuznetsova (HSE University),Reading group: A sampling technique for worldwide comparisons of language contact scenarios by Francesca Di Garbo and Ricardo Napoleão de Souza,"Existing sampling methods in language typology strive to control for areal biases in typological datasets as a means to avoid contact effects in the distribution of linguistic structure. However, none of these methods provide ways to directly compare contact scenarios from a typological perspective. This paper addresses this gap by introducing a sampling procedure for worldwide comparisons of language contact scenarios. The sampling unit consists of sets of three languages. The Focus Language is the language whose structures we examine in search for contact effects; the Neighbor Language is genealogically unrelated to the Focus Language, and counts as the potential source of contact influence on the Focus Language; the Benchmark Language is a relative of the Focus Language neither in contact with the Focus nor with the Neighbor language, and is used for disentangling contact effects from genealogical inheritance in the Focus Language. Through this design, we compiled a sample of 49 three-language sets (147 languages in total), which we present here. By switching the focus of typological sampling from individual languages to contact relations between languages, our method has the potential of uncovering patterns in the diffusion of language structures, and how they vary and change."
2023,3,14,"George Moroz, Chiara Naccarato, Anastasia Yakovleva, Svetlana Zemicheva (HSE University)",Non-standard features in spoken corpora of dialectal and regional varieties of Russian,"In this talk, we will present the preliminary results of ongoing research on variation in spoken corpora of dialectal and regional varieties of Russian. The collection of spoken corpora developed by members of the Linguistic Convergence Laboratory is constantly growing and currently includes 21 corpora of bilinguals’ and dialectal varieties of Russian. Based on data from such corpora, we investigate phenomena of variation at different linguistic levels. Some of the topics currently being investigated include preposition drop, case marking in numeral constructions, and functions of participles and converbs. After manual annotation of corpus data, we apply statistical methods to test linguistic and sociolinguistic hypotheses on the motivations of certain patterns of variation."
2023,3,7,Alina Russkikh (HSE University),Constructions with collective numerals in typological perspective,"This study represents a typological investigation on constructions with collective numerals based on the data collected from 105 languages. By constructions with collective numerals, I understand such cases where a quantifying group indicates selection of N items out of the set with N items in total, cf. English both, French tous les trois ‘all the three’ or Chuvash ik aʨ-i=de [two child-P_3=ADD] ‘both children’. This study is aimed at identifying possible strategies of forming such construction in the languages of the world, and their distribution. In a number of languages, constructions with collective numerals are formed by using morphological markers or syntactic models which occur in other grammatical functions as well. In such cases, I take into consideration those adjacent functions and their possible semantic relations with a collective meaning in constructions with numerals."
2023,3,7,Aigul Zakirova,Number marking on verbs in the East Caucasian languages,"In this talk I describe different patterns of number marking on verbs, using mainly grammatical descriptions  Possible ways to analyze number marking on verbs are discussed: 1) as agreement, i.e. as an operation by which morphological featuresare copied from one word form onto another, 2) as a special category of verbal number.  Besides, I dwell on the factors by which this marking is conditioned. As it turns out, the Nakh and the Avar-Ando-Tsez branches feature number marking strategies, which are limited to a lexically defined set of verbs. Number markers in this case are localized in the verb stem. On the other hand, in many branches of the family, a different situation is also common: number marking is conditioned by the TAM-forms of the verb, i.e. by grammatical factors.  Finally, the diachrony of number marking is considered. I propose that the verb forms which are marked for number often go back to copular constructions where the predicate position is occupied by a participial form. As a result of grammaticalization of these constructions into verbal forms, the original nominal number marking on the participle develops into verbal number marking."
2023,2,21,"Alexey Koshevoy (LPC, Aix-Marseille Université and Institut Jean Nicod, ENS-PSL), Anastasia Panova (Stockholm University), Ilya Makarchuk (HSE Univeristy)",Building a Universal Dependencies Treebank for a Polysynthetic Language: the Case of Abaza,"In this talk we are going to discuss the challenges that we faced during the construction of a Universal Dependencies treebank for Abaza, a polysynthetic Northwest Caucasian language. We propose an alternative to the morpheme-level annotation of polysynthetic languages introduced in Park et al. (2021). Our approach aims at reducing the number of morphological features, yet providing all the necessary information for the comprehensive representation of all the syntactic relations. Besides, we suggest to add one language-specific relation needed for annotating repetitions in spoken texts and present several solutions that aim at increasing crosslinguistic comparability of our data."
2023,2,21,"Alina Russkikh (HSE University), Maksim Melenchenko (HSE University)",Reading group: C. T. Schütze (2011) Linguistic evidence and grammatical theory,"This article surveys the major kinds of empirical evidence used by linguists, with a particular focus on the relevance of the evidence to the goals of generative grammar. After a background section overviewing the objectives and assumptions of that framework, three broad kinds of data are considered in the three subsequent sections: corpus data, judgment data, and (other) experimental data. The perspective adopted is that all three have their place in the linguist’s toolbox: they have relative advantages and disadvantages that often complement one another, so converging evidence of more than one kind can reasonably be sought in many instances. Points are illustrated mainly with examples from syntax, but often can be easily translated to other levels (e.g., phonology, morphology, semantics, and pragmatics)."
2023,2,14,"Philip Shushurin (ILS RAS/ Ben Gurion University of the Negev, Beer Sheva)","Nouns, adjectives and other lexical categories","Nouns and adjectives are often contrasted with other lexical categories as a category which can get case marking. Detailed typological studies reveal many additional similarities between nouns and adjectives such as the inability to have direct objects (cf. *performance *(of) the song, full *(of) problems). I propose a new analysis of the traditional syntactic categories N and Adj, suggesting that the principal properties of nouns and adjectives are largely determined by the presence of (valued or unvalued) inherent gender. Furthermore, I show how this system is able to extend to other lexical categories such as prepositions (and linkers) as well as verbs."
2023,2,7,Anastasiya Ivanova (HSE University),Reading group: Hübler N. 2022 Phylogenetic signal and rate of evolutionary change in language structures. R. Soc. Open Sci. 9: 211252.,"Within linguistics, there is an ongoing debate about whether some language structures remain stable over time, which structures these are and whether they can be used to uncover the relationships between languages. However, there is no consensus on the definition of the term ‘stability’. I define ‘stability’ as a high phylogenetic signal and a low rate of change. I use metric D to measure the phylogenetic signal and Hidden Markov Model to calculate the evolutionary rate for 171 structural features coded for 12 Japonic, 2 Koreanic, 14 Mongolic, 11 Tungusic and 21 Turkic languages. To more deeply investigate the differences in evolutionary dynamics of structural features across areas of grammar, I divide the features into 4 language domains, 13 functional categories and 9 parts of speech. My results suggest that there is a correlation between the phylogenetic signal and evolutionary rate and that, overall, two-thirds of the features have a high phylogenetic signal and over a half of the features evolve at a slow rate. Specifically, argument marking (flagging and indexing), derivation and valency appear to be the most stable functional categories, pronouns and nouns the most stable parts of speech, and phonological and morphological levels the most stable language domains."
2023,2,7,"Johanna Nichols (Berkeley, HSE)",Work in progress on using typological distributions to identify language family homelands,"This is a preliminary report applying principles worked out in identifying homelands and centers of dispersal for Uralic and some of its branches (Grünthal et al. 2022) to reconstructing a center and trajectories for the Nakh-Daghestanian dispersal. Selection of typological variables, choice of methods of comparison, and types of coding can all selectively enhance the visibility of starting points or endpoints of dispersal trajectories. For Uralic we can reconstruct a broadly easterly homeland and an east-to-west distribution of the earliest branch ancestors, followed by northward spreads. Applying similar reasoning to Nakh-Daghestanian, there is also a directionality in early branch ancestor locations and diffusions of typological features, and there is geographical and archaeological evidence not available for Uralic. Compared to Uralic, a Nakh-Daghestanian origin appears to be less precise in time but more precise in space. Grünthal, Riho, Volker Heyd, Sampsa Holopainen, Juha Janhunen, Olesya Khanina, Matti Miestamo, Johanna Nichols, Janne Saarikivi, and Kaius Sinnemäki. 2022. Drastic demographic events triggered the Uralic spread. Diachronica 39:4.490–524.https://doi.org/10.1075/dia.20038.gru (open access)"
